basin,year,site,country,latitude,longitude,eqr,urb.full,crop.full,tree.full,temp.change
BE02,1998,121000122,belgium,51.2766758,5.381177,0.75,NA,NA,NA,0.025100478
BE02,1998,121000234,belgium,51.1292048,5.8238817,0.7,0.0299807,0.314744968,0.363771712,0.025100478
BE02,1998,121000152,belgium,51.1036103,5.807662,0.3,0.151315789,0.717105263,0.006578947,0.025100478
BE02,1998,121000059,belgium,51.1196984,5.7214918,0.6,0,0.5,0.375,0.025100478
BE02,1998,121000121,belgium,51.2754487,5.3464685,0.7,NA,NA,NA,0.025100478
BE02,1998,121000235,belgium,51.0945091,5.8027274,0.55,0.029978693,0.31381181,0.36438151,0.025100478
BE02,1998,121000160,belgium,51.1717187,5.7795737,0.55,0.00990991,0.797297297,0.114414414,0.025100478
BE02,1998,121000225,belgium,51.125738,5.811887,0.75,0,1,0,0.025100478
BE02,1998,121000228,belgium,51.1792437,5.631052,0.8,0,0.737704918,0,0.025100478
BE02,1998,121000226,belgium,51.1376985,5.7660702,0.7,NA,NA,NA,0.025100478
BE02,1999,121000228,belgium,51.1792437,5.631052,0.85,0,0.737704918,0,0.025100478
BE02,1999,121000122,belgium,51.2766758,5.381177,0.7,NA,NA,NA,0.025100478
BE02,1999,121000160,belgium,51.1717187,5.7795737,0.7,0.014414414,0.792792793,0.114414414,0.025100478
BE02,1999,121000059,belgium,51.1196984,5.7214918,0.5,0,0.5,0.375,0.025100478
BE02,1999,121000234,belgium,51.1292048,5.8238817,0.55,0.031003584,0.316035291,0.358709677,0.025100478
BE02,1999,121000152,belgium,51.1036103,5.807662,0.5,0.164473684,0.703947368,0.006578947,0.025100478
BE02,1999,121000225,belgium,51.125738,5.811887,0.65,0,1,0,0.025100478
BE02,1999,121000226,belgium,51.1376985,5.7660702,0.65,NA,NA,NA,0.025100478
BE02,1999,121000121,belgium,51.2754487,5.3464685,0.8,NA,NA,NA,0.025100478
BE02,1999,121000235,belgium,51.0945091,5.8027274,0.55,0.03099567,0.315118956,0.359304919,0.025100478
BE03,2000,BEVL_VMM_100000,belgium,51.3030486,5.4871359,0.75,NA,NA,NA,0.044706953
BE03,2000,BEVL_VMM_86000,belgium,51.4715636,5.0778282,0.55,0.003690037,0.669126691,0.290282903,0.044706953
BE03,2000,BEVL_VMM_72000,belgium,51.5050592,4.7810662,0.6,0.016516228,0.731899366,0.12175917,0.044706953
BE03,2000,BEVL_VMM_72500,belgium,51.4452341,4.7472234,0.6,0.014821823,0.721223589,0.137496058,0.044706953
BE03,2000,BEVL_VMM_80000,belgium,51.4279319,4.7799054,0.6,0.00154202,0.706245181,0.194294526,0.044706953
BE03,2000,BEVL_VMM_60000,belgium,51.4820836,4.473607,0.65,0.077151335,0.75074184,0.056379822,0.044706953
BE03,2000,BEVL_VMM_67000,belgium,51.4211058,4.6411677,0.5,NA,NA,NA,0.044706953
BE03,2000,BEVL_VMM_73000,belgium,51.4174412,4.7699805,0.35,0.022318998,0.712030484,0.113228089,0.044706953
BE03,2000,BEVL_VMM_84000,belgium,51.4871821,5.0331371,0.65,0.007978723,0.772606383,0.138297872,0.044706953
BE03,2002,BEVL_VMM_72000,belgium,51.5050592,4.7810662,0.7,0.031111965,0.71730363,0.12175917,0.044706953
BE03,2002,BEVL_VMM_60000,belgium,51.4820836,4.473607,0.5,0.115727003,0.71810089,0.050445104,0.044706953
BE03,2002,BEVL_VMM_67000,belgium,51.4211058,4.6411677,0.65,NA,NA,NA,0.044706953
BE03,2002,BEVL_VMM_72500,belgium,51.4452341,4.7472234,0.6,0.030274361,0.70577105,0.137496058,0.044706953
BE03,2002,BEVL_VMM_73000,belgium,51.4174412,4.7699805,0.35,0.047904192,0.686445291,0.113228089,0.044706953
BE03,2002,BEVL_VMM_100000,belgium,51.3030486,5.4871359,0.5,NA,NA,NA,0.044706953
BE03,2002,BEVL_VMM_86000,belgium,51.4715636,5.0778282,0.55,0.006150062,0.666666667,0.290282903,0.044706953
BE03,2002,BEVL_VMM_80000,belgium,51.4279319,4.7799054,0.7,0.00231303,0.705474171,0.194294526,0.044706953
BE03,2002,BEVL_VMM_84000,belgium,51.4871821,5.0331371,0.8,0.011968085,0.768617021,0.138297872,0.044706953
BE03,2003,BEVL_VMM_86000,belgium,51.4715636,5.0778282,0.7,0.023370234,0.650676507,0.290282903,0.044706953
BE03,2003,BEVL_VMM_72000,belgium,51.5050592,4.7810662,0.7,0.051853274,0.696946418,0.121567121,0.044706953
BE03,2003,BEVL_VMM_60000,belgium,51.4820836,4.473607,0.45,0.151335312,0.691394659,0.047477745,0.044706953
BE03,2003,BEVL_VMM_67000,belgium,51.4211058,4.6411677,0.65,NA,NA,NA,0.044706953
BE03,2003,BEVL_VMM_72500,belgium,51.4452341,4.7472234,0.55,0.05487228,0.681803847,0.1371807,0.044706953
BE03,2003,BEVL_VMM_80000,belgium,51.4279319,4.7799054,0.95,0.00693909,0.700848111,0.194294526,0.044706953
