basin,country,year,delta_taxonomic_allYears,delta_biological_allYears,delta_ecological_allYears,taxa_addition_allYears,taxa_subtraction_allYears,biological_addition_allYears,biological_subtraction_allYears,ecological_addition_allYears,ecological_subtraction_allYears,delta_taxonomic_toFirst,delta_biological_toFirst,delta_ecological_toFirst,taxa_addition_toFirst,taxa_subtraction_toFirst,biological_addition_toFirst,biological_subtraction_toFirst,ecological_addition_toFirst,ecological_subtraction_toFirst,delta_taxonomic_fromLast,delta_biological_fromLast,delta_ecological_fromLast,taxa_addition_fromLast,taxa_subtraction_fromLast,biological_addition_fromLast,biological_subtraction_fromLast,ecological_addition_fromLast,ecological_subtraction_fromLast
DE01,denmark,2012,-0.002657842,-0.016947113,0.052537132,-0.016019148,-0.002670933,0.013096257,-0.013465864,0.01226777,0.006485604,0.050347679,0.05580001,0.009432516,0.056447623,-0.009946173,0.000139251,0.009201345,0.001822739,0.000768059,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE02,denmark,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002413173,-0.034433745,-0.032683378,0.060316113,-0.009168625,0.007696132,-0.002398694,-0.000288295,-0.007448492
DE02,denmark,2000,0.012515775,0.02447545,0.006707247,-0.025580046,-0.027838162,-0.000129397,-0.001256318,0.000318512,-0.002161584,0.012515775,0.02447545,0.006707247,0.060316113,-0.009168625,0.005915451,-0.007569247,0.002056677,0.000191448,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE02,denmark,2001,0.000451754,0.086909147,0.033801701,-0.013764481,-0.013133453,0.011807896,0.010322518,0.016338756,0.003248304,0.012967529,0.111384597,0.040508948,0.030976285,-0.017717375,0.012395613,0.001860996,0.007446164,0.009583299,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE02,denmark,2002,-0.009036399,-0.078254145,-0.007539335,-0.054992494,0.038060639,-0.009287298,-0.010385351,-0.004466616,-0.006180913,0.00393113,0.033130452,0.032969613,-0.009331487,0.005658544,-0.002287602,-0.000331062,0.003140895,0.006850598,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE02,denmark,2003,0.069913688,0.086345162,-0.003781794,0.276205786,0.001416956,0.025075707,-0.00143594,0.013883563,-0.001212299,0.073844818,0.119475614,0.029187819,0.282599156,-0.008649358,0.020735055,-0.00619753,0.011034745,0.006892339,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE02,denmark,2004,-0.018109617,-0.116462315,-0.018966028,0.012011273,-0.074142031,0.001208235,-0.022246349,-0.006312792,-0.014797677,0.055735201,0.003013299,0.010221791,0.212789792,-0.000970751,0.010498453,-0.009563305,0.004735193,0.002549291,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE02,denmark,2005,-0.028017636,0.041354457,0.020274127,-0.140864062,-0.008820404,0.004172682,0.003802904,0.009543926,0.00564459,0.027717565,0.044367756,0.030495918,0.070949768,-0.008815193,0.014591329,-0.005218253,0.01410618,0.00508716,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE02,denmark,2006,0.005738075,-0.022385484,-0.004194578,0.061797163,-0.02611491,-0.000866416,-0.00944197,-0.000565041,-0.007946814,0.03345564,0.021982272,0.02630134,0.107963022,-0.010146195,0.00152838,-0.003892847,0.004630855,0.004011846,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE02,denmark,2007,-0.013418819,0.038156623,-0.013601483,-0.005754912,-0.042191429,0.01466897,-0.004270664,-0.003555173,-0.000617233,0.020036821,0.060138895,0.012699857,0.058870506,-0.00900002,0.00895189,0.000113735,0.001932866,0.002097777,NA,NA,NA,NA,NA,NA,NA,NA,NA
