basin,year,tax_subtraction,tax_addition,bio_subtraction,bio_addition,eco_subtraction,eco_addition
DE09,2018,-0.003586447,0.217227553,-0.01281217,0.022749888,-0.011019001,0.008280321
FI01,2011,0.005530892,0.021656231,0.005393576,0.004906528,0.001187058,-0.001616833
FI01,2012,-0.02478406,-0.002606378,-0.003801268,-0.001590529,-0.005022254,-0.006316999
FI01,2013,0.031677961,0.011169893,0.004582586,0.003162479,0.008165579,0.004027398
FI01,2014,-0.01313401,0.002171151,0.008293152,-0.002977687,-0.001809385,0.000531404
FI01,2015,0.006180945,0.020869361,0.003822647,0.000856016,0.010677158,0.002875723
FI01,2016,-0.016148316,-0.004072202,-0.004821738,-0.009019388,3.40E-05,-0.010539189
FI01,2017,-0.01897136,0.006651239,-0.002346503,0.002102518,-0.002160359,-0.008399587
FI01,2018,0.050319757,0.031140653,0.029258815,0.011475583,0.013928891,0.001149659
FI02,2001,0.066468423,0.003249512,-0.001480519,0.009960942,0.003412972,0.0112901
FI02,2002,0.062063884,0.047904015,0.002965375,0.011866621,0.00232565,0.007960537
FI02,2003,-0.025861478,0.018255944,-0.001433748,0.003612039,-0.010291018,0.002412162
FI02,2004,-0.03700448,-0.134668785,-0.007340627,-0.00044097,-0.002928411,-0.002038471
FI02,2005,0.074482528,0.033218891,-0.007711076,0.000304832,-0.001698661,0.005043124
FI02,2006,0.026050042,0.103905904,-0.002652123,0.018205608,0.003202179,0.020613081
FI02,2007,-0.026567209,0.017082775,-0.007026457,0.011745569,-0.008427837,-0.006923613
FI02,2008,-0.067223792,-0.025065061,-0.014663704,-0.002203814,-0.003656636,-0.003876137
FI02,2009,-0.03158278,0.014667141,-0.002941808,0.000388209,0.001260558,0.002302825
FI02,2010,0.01582597,-0.046884006,0.003117694,0.003757982,0.002917243,0.007259011
FI02,2011,0.002577305,0.020226475,-0.002060016,-0.003272438,0.001659611,-0.003185752
FI02,2012,-0.02759036,-0.067593845,0.000965104,0.001880923,-0.003766272,-0.004573614
FI02,2013,-0.00349816,-0.015791372,-0.008146163,-0.000730371,-0.003200942,-0.003155951
FI02,2014,0.066468423,0.003249512,-0.001480519,0.009960942,0.003412972,0.0112901
FR01,1995,-0.021133293,-0.039653422,-0.001447694,-0.020229136,-0.002008294,0.0303997
FR01,1996,-0.033734613,0.069151193,-0.017931722,-0.010498526,-0.011055599,-0.001805092
FR01,1997,-0.055531574,0.02196767,-0.001760566,0.026101602,-0.002324697,0.005617445
FR01,1998,-0.001440848,-0.062796757,-0.023262569,-0.016349341,-0.004578176,0.009168687
FR01,1999,0.064130308,0.032930736,0.01273096,0.011396424,-0.000112449,0.00103857
FR01,2000,0.014558224,-0.052753181,0.015426833,0.007913657,-0.011192168,-0.011926429
FR01,2001,-0.021133293,-0.039653422,-0.001447694,-0.020229136,-0.002008294,0.0303997
FR02,2009,-0.018501854,0.05432049,-0.034449159,-0.031713876,-0.0352782,-0.004443781
