basin,country,basin_name,distance_mean,distance_max,distance_min,taxon_resolution,sample_units,number_sites,year,ts_length,taxa,total_taxa,urban_mean,crop_mean,forest_mean,eqr,temperature_trend,lat_center,lon_center,taxonomic_bray,biological_bray,ecological_bray,taxonomic_chiSq
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2009,19,77,152,0.025794827,0.833221611,0.09166094,0.62808642,0.009542175,56.14451348,9.849531157,0.86613053,0.62096461,0.465875249,0.915686598
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2010,19,74,152,0.025833505,0.833383933,0.091459941,0.612654321,0.009542175,56.14451348,9.849531157,0.88245955,0.566379595,0.432321526,0.910867444
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2011,19,82,152,0.025861398,0.833830217,0.090957872,0.653935185,0.009542175,56.14451348,9.849531157,0.861079582,0.644715271,0.453060747,0.908519602
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2012,19,81,152,0.025972969,0.833620712,0.091111591,0.699074074,0.009542175,56.14451348,9.849531157,0.875897501,0.633629141,0.441538572,0.908043636
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2013,19,70,152,0.026056647,0.833537034,0.091111591,0.704475309,0.009542175,56.14451348,9.849531157,0.849295518,0.646177084,0.464109603,0.898906995
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2014,19,79,152,0.026196111,0.833436105,0.091156734,0.745370371,0.009542175,56.14451348,9.849531157,0.840229696,0.576655559,0.457758697,0.917803581
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2015,19,72,152,0.026234788,0.833425321,0.091128842,0.638503087,0.009542175,56.14451348,9.849531157,0.858689296,0.544698705,0.421426063,0.915053855
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2016,19,70,152,0.026234788,0.830127065,0.094690489,0.673611111,0.009542175,56.14451348,9.849531157,0.879116408,0.569951579,0.416798732,0.917144184
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2018,19,65,152,0.026234788,0.830480744,0.094331061,0.755787037,0.009542175,56.14451348,9.849531157,0.864164649,0.566664886,0.38315537,0.922396452
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2002,16,48,115,0.019900945,0.854649892,0.10526804,0.590277778,0.011348364,55.30257337,10.30719986,0.706648322,0.389772142,0.157234568,0.767035874
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2003,16,45,115,0.021736278,0.852814558,0.10526804,0.604166667,0.011348364,55.30257337,10.30719986,0.736746832,0.436168585,0.199489691,0.791513239
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2004,16,46,115,0.023880212,0.849852602,0.106172271,0.502314815,0.011348364,55.30257337,10.30719986,0.69591239,0.312317137,0.214875907,0.792134247
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2005,16,41,115,0.024204043,0.850563286,0.105137756,0.553240741,0.011348364,55.30257337,10.30719986,0.649387538,0.375620851,0.198125504,0.769059432
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2006,16,46,115,0.024528755,0.851531718,0.103844613,0.524691358,0.011348364,55.30257337,10.30719986,0.669516764,0.368792472,0.186645621,0.825322839
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2007,16,52,115,0.024842368,0.851993991,0.103068726,0.648148148,0.011348364,55.30257337,10.30719986,0.743671861,0.362410164,0.187293593,0.80144981
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2008,16,53,115,0.024928578,0.852338829,0.10220663,0.703703704,0.011348364,55.30257337,10.30719986,0.79713986,0.399313415,0.207831903,0.806844272
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2009,16,62,115,0.024978736,0.85237488,0.102120421,0.703703704,0.011348364,55.30257337,10.30719986,0.922372587,0.338488308,0.240768415,0.827692187
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2010,16,68,115,0.024978736,0.852719719,0.101775583,0.621141976,0.011348364,55.30257337,10.30719986,0.791554748,0.407926565,0.18591701,0.822279
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2011,16,66,115,0.025012781,0.852858093,0.101603163,0.662037037,0.011348364,55.30257337,10.30719986,0.780863626,0.457573303,0.222450219,0.817144736
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2012,16,60,115,0.025028895,0.853034143,0.101410999,0.739197531,0.011348364,55.30257337,10.30719986,0.681333076,0.366289214,0.169345302,0.784445485
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2013,16,54,115,0.025028895,0.853034143,0.101410999,0.75,0.011348364,55.30257337,10.30719986,0.712328277,0.397054539,0.221161006,0.772490936
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2014,16,65,115,0.025028895,0.854241078,0.100031646,0.798611111,0.011348364,55.30257337,10.30719986,0.805516783,0.44769906,0.222162389,0.81111578
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2015,16,72,115,0.025028895,0.854241078,0.100031646,0.752314815,0.011348364,55.30257337,10.30719986,0.735744984,0.367248498,0.173328782,0.814451071
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2016,16,66,115,0.025028895,0.852738288,0.101832124,0.805555555,0.011348364,55.30257337,10.30719986,0.735471128,0.363163854,0.160911242,0.801059572
DE03,denmark,Odense,16.44076681,29.13500036,3.523176736,mixed,0.6/m2,5,2018,16,66,115,0.025028895,0.852928827,0.101555375,0.702160494,0.011348364,55.30257337,10.30719986,0.757629747,0.386062328,0.177355784,0.80940909
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2000,16,42,87,0.008333333,0.935240044,0.010257628,0.422222222,0.01890631,55.26344862,9.056735038,0.894086496,0.419384653,0.201465978,0.872050537
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2001,16,39,87,0.00862069,0.934952688,0.010257628,0.438888889,0.01890631,55.26344862,9.056735038,0.755067568,0.392989405,0.206358364,0.824907798
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2002,16,32,87,0.009195402,0.934377975,0.010257628,0.416666667,0.01890631,55.26344862,9.056735038,0.672483221,0.351374076,0.191025558,0.756499811
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2003,16,31,87,0.010344828,0.93322855,0.010257628,0.416666667,0.01890631,55.26344862,9.056735038,0.796980532,0.388130314,0.238945515,0.836051854
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2004,16,41,87,0.011781609,0.931791768,0.010257628,0.456481482,0.01890631,55.26344862,9.056735038,0.844489692,0.384246625,0.264488088,0.815811233
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2005,16,40,87,0.013218391,0.930354987,0.010257628,0.439814815,0.01890631,55.26344862,9.056735038,0.83407687,0.368897155,0.220291553,0.79301577
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2006,16,38,87,0.01408046,0.929492918,0.010257628,0.444444444,0.01890631,55.26344862,9.056735038,0.692996196,0.227751429,0.177262394,0.729035294
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2007,16,41,87,0.01408046,0.929492918,0.010257628,0.4,0.01890631,55.26344862,9.056735038,0.808717867,0.328440402,0.201492308,0.839683149
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2008,16,44,87,0.01408046,0.929492918,0.010257628,0.494444444,0.01890631,55.26344862,9.056735038,0.748089359,0.316616979,0.222584328,0.863830389
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2009,16,38,87,0.01408046,0.929492918,0.010257628,0.630555556,0.01890631,55.26344862,9.056735038,0.740056818,0.33290186,0.225897983,0.793391031
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2010,16,47,87,0.01408046,0.929492918,0.010257628,0.622222222,0.01890631,55.26344862,9.056735038,0.79741205,0.418018991,0.264556415,0.880879528
